,topic,subtopic,video,video_length_[mins],video_length_[hrs]
1121,Microbiology 2019,03 Viruses,085. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Rhabdoviridae.mp4,6.54,0.11
1122,Microbiology 2019,03 Viruses,086. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Filoviridae.mp4,1.61,0.03
1123,Microbiology 2019,03 Viruses,087. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Orthomyxoviridae.mp4,10.22,0.17
1124,Microbiology 2019,03 Viruses,088. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Bunyaviridae.mp4,2.54,0.04
1125,Microbiology 2019,03 Viruses,089. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Arenaviridae.mp4,1.22,0.02
1126,Microbiology 2019,03 Viruses,090. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Reoviridae.mp4,2.02,0.03
1127,Microbiology 2019,03 Viruses,091. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Oncogenic Viruses.mp4,1.4,0.02
1128,Microbiology 2019,03 Viruses,092. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Prion Diseases.mp4,5.16,0.09
1129,Microbiology 2019,03 Viruses,093. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Viral Genetics.mp4,4.91,0.08
1130,Microbiology 2019,04 Fungi,094. Microbiology - Sec. II Medically Important Fungi - Mycology.mp4,2.3,0.04
1131,Microbiology 2019,04 Fungi,095. Microbiology - Sec. II Medically Important Fungi - Fungal Morphology.mp4,5.5,0.09
1132,Microbiology 2019,04 Fungi,096. Microbiology - Sec. II Medically Important Fungi - Nonsystemic Fungal Infections.mp4,12.27,0.2
1133,Microbiology 2019,04 Fungi,097. Microbiology - Sec. II Medically Important Fungi - Deep Fungal Infections.mp4,30.18,0.5
1134,Microbiology 2019,05 Parasitology,098. Microbiology - Sec. II Medical Parasitology - Classification of Parasites.mp4,4.19,0.07
1135,Microbiology 2019,05 Parasitology,099. Microbiology - Sec. II Medical Parasitology - Important Protozoan Parasites.mp4,13.5,0.22
1136,Microbiology 2019,05 Parasitology,100. Microbiology - Sec. II Medical Parasitology - Free Living Amoebae.mp4,2.76,0.05
1137,Microbiology 2019,05 Parasitology,101. Microbiology - Sec. II Medical Parasitology - Plasmodium.mp4,9.08,0.15
1138,Microbiology 2019,05 Parasitology,102. Microbiology - Sec. II Medical Parasitology - Hemoflagellates.mp4,8.15,0.14
1139,Microbiology 2019,05 Parasitology,103. Microbiology - Sec. II Medical Parasitology - Miscellaneous.mp4,7.68,0.13
1140,Microbiology 2019,05 Parasitology,104. Microbiology - Sec. II Medical Parasitology - Trematodes.mp4,11.1,0.18
1141,Microbiology 2019,05 Parasitology,105. Microbiology - Sec. II Medical Parasitology - Cestodes.mp4,9.5,0.16
1142,Microbiology 2019,05 Parasitology,106. Microbiology - Sec. II Medical Parasitology - Nematodes.mp4,20.93,0.35
